name,longitude,latitude
Ha Noi,105.8342,21.0278
Ho Chi Minh,106.6602,10.7626
Da Nang,108.2022,16.0471
Hai Phong,106.6881,20.8449
Can Tho,105.7689,10.0452
An Giang,105.4259,10.3755
Ba Ria Vung Tau,107.0843,10.5417
Bac Giang,106.199,21.273
Bac Kan,105.8701,22.1472
Bac Lieu,105.7241,9.295
Bac Ninh,106.0763,21.1784
Ben Tre,106.3875,10.2413
Binh Dinh,109.2308,13.782
Binh Duong,106.6394,11.0187
Binh Phuoc,106.9256,11.5076
Binh Thuan,108.1025,10.9806
Ca Mau,104.9689,9.176
Cao Bang,106.3347,22.6682
Dak Lak,108.0505,12.7108
Dak Nong,107.7021,12.008
Dien Bien,103.0167,21.3856
Dong Nai,107.168,10.9453
Dong Thap,105.6376,10.5359
Gia Lai,108.0084,13.8071
Ha Giang,104.983,22.7662
Ha Nam,105.918,20.5835
Ha Tinh,105.9006,18.3557
Hai Duong,106.3145,20.9405
Hau Giang,105.5684,9.7846
Hoa Binh,105.3376,20.7056
Hung Yen,106.0511,20.8526
Khanh Hoa,109.1943,12.2388
Kien Giang,104.911,9.953
Kon Tum,107.9988,14.3503
Lai Chau,103.471,22.3996
Lam Dong,108.4398,11.9404
Lang Son,106.7286,21.8457
Lao Cai,104.0197,22.4859
Long An,106.4142,10.6956
Nam Dinh,106.1621,20.4373
Nghe An,105.6957,19.229
Ninh Binh,106.0837,20.2536
Ninh Thuan,108.9635,11.5654
Phu Tho,105.2212,21.3313
Phu Yen,109.2214,13.0955
Quang Binh,106.1165,17.4685
Quang Nam,108.8086,15.8794
Quang Ngai,108.695,14.8735
Quang Ninh,107.0773,21.0064
Quang Tri,106.6137,16.7632
Soc Trang,106.1109,9.6032
Son La,104.129,21.3288
Tay Ninh,106.1781,11.3045
Thai Binh,106.3359,20.4507
Thai Nguyen,105.8422,21.567
Thanh Hoa,105.7708,19.8067
Thua Thien Hue,107.5829,16.4637
Tien Giang,106.3546,10.4493
Tra Vinh,105.2317,9.9347
Tuyen Quang,106.1058,21.799
Vinh Long,105.6354,10.2565
Vinh Phuc,105.9331,21.3081
Yen Bai,104.8821,21.722
